text            ,count
【は】             ,2173
【はじめしゃちょー】      ,1771
【はじめ】           ,1007
【大童】            ,672
【大人】            ,635
【はじめしゃちょーエスペラント】,573
【はじめしゃちょーエンディング】,526
【大輔】            ,304
【荻本】            ,135
【小川】            ,119
【おだしょー】         ,119
【ヤンヤン】          ,114
【堀本】            ,89
【オリマス】          ,63
【Horimoto】      ,60
【としみつ】          ,52
【オープニング】        ,27
【西野】            ,25
【小】             ,25
【水野】            ,20
【ム】             ,20
【大西】            ,14
【オリモス】          ,9
【ゆる言語学ラジオ】      ,9
【拍手】            ,8
【ゆるげんグラジオ】      ,8
【フェップ】          ,8
【大井】            ,8
【伊豆野】           ,8
【うんうん。】         ,6
【はぐ】            ,6
【音楽】            ,6
【今井】            ,6
【内容】            ,3
【中核】            ,3
【ゆる言語アクラジオ】     ,3
【ゆる逆とハウス】       ,3
【茅】             ,3
【ゆる言語課長】        ,2
【語彙】            ,2
【ユルコンピューター科学ラジオ】,2
【ユルゲングラジオ】      ,2
【テロップ】          ,2
【ゆる言語ラジオ】       ,2
【ムト】            ,2
【ヒンディー語】        ,2